,Av,Rt,Th,Cost
2016-01-05,0.5653850736877999,0.6666552728805696,0.2274360483035161,0.49377258674418845
2016-01-06,0.43824731419835,0.5211710272482696,0.193324569820973,0.3576850108407786
2016-01-07,0.5702938009762191,0.5074275009664574,0.21989225001426355,0.5048463982410202
2016-01-08,0.5804501021569426,0.4880641248630387,0.1982679599975113,0.5039412348164009
2016-01-09,0.6005154675648225,0.633061725630877,0.1756677703777373,0.38395018546428294
2016-01-10,0.5639587391852032,0.4130240618635661,0.20524493630428547,0.49191324621947075
2016-01-11,0.6619678805228193,0.44953064464692705,0.20733775173867702,0.543700031948315
2016-01-12,0.5874790592031433,0.5011506239009346,0.18276684761731232,0.59979268727198
2016-01-13,0.6158864766972534,0.4421470456895565,0.18916910338951193,0.48490073854963167
2016-01-14,0.6560835886927184,0.367753094849254,0.1669545122964352,0.48058299667261867
2016-01-15,0.6968707355370416,0.44559722924687223,0.2169478161597007,0.4524965710760489
2016-01-16,0.6517520469515022,0.42718919993474,0.19717264108932586,0.4637048246524483
2016-01-17,0.6305439500042688,0.3608215711614309,0.1906594821787415,0.514074780640364
2016-01-18,0.539415423722813,0.41254017823866096,0.21887210480691627,0.375731162368908
2016-01-19,0.59779654471348,0.29162165320854544,0.3293279355717013,0.45147036727171297
2016-01-20,0.5158586697411867,0.2923266256870244,0.2717720281067132,0.3870474510623392
2016-01-21,0.47032069731532394,0.3310791454719406,0.23387151089020036,0.4609148115592859
2016-01-22,0.5189518908721675,0.3329638049413208,0.24948583682858572,0.47672097971785254
2016-01-23,0.5452382153438413,0.2625366576053701,0.22027656255789246,0.4147316660155456
2016-01-24,0.6769925550537103,0.3067158172286539,0.25629175115606684,0.41472157091985073
2016-01-25,0.6446838302072133,0.2746655470833542,0.282275561542906,0.3024336768916387
2016-01-26,0.7106136624778632,0.26399247607709053,0.28078291917806003,0.2782565412377186
2016-01-27,0.7149171628532468,0.18476733474125534,0.37143890942017677,0.2380850707186094
2016-01-28,0.569163059722918,0.203915644031609,0.31059472161952645,0.24534814529270382
2016-01-29,0.5618410458082049,0.3014929393845141,0.36494040868577426,0.3289493101698491
2016-01-30,0.6880368040765164,0.2343366356424607,0.3756189465913182,0.41289452968899865
